X;Y;ID;NOMBRE;CALLE1;CALLE2;INTERSEC;INAUGURA;LIN_SENT_N;LIN_SENT_S;METROBUS
-58.4579408166576;-34.5606544210561;163;MENDOZA;CABILDO AV;;ENTRE MENDOZA Y OLAZABAL;SI;;29 - 41 - 59 - 60 - 68 - 152 - 161;METROBUS NORTE - AV CABILDO
-58.4570022918061;-34.561582003747;164;JURAMENTO;CABILDO AV;;ENTRE JURAMENTO Y MENDOZA;SI;57 - 194;;METROBUS NORTE - AV CABILDO
-58.455393320399;-34.5634371633964;165;SUCRE;CABILDO AV;;ENTRE SUCRE Y ECHEVERRIA;SI;41 - 59 - 60 - 63 - 67 - 68 - 152 - 161 - 168 - 184;;METROBUS NORTE - AV CABILDO
-58.4546984963263;-34.5644353222566;166;LA PAMPA;CABILDO AV;;ENTRE LA PAMPA Y SUCRE;SI;;44 - 63 - 65 - 80 - 168 - 184;METROBUS NORTE - AV CABILDO
-58.4528456948676;-34.5658770344114;167;VIRREY DEL PINO;CABILDO AV;;ENTRE VIRREY DEL PINO Y JOSE HERNANDEZ;SI;;57 - 194;METROBUS NORTE - AV CABILDO
-58.4516998905166;-34.5664718246352;168;VIRREY ARREDONDO;CABILDO AV;;ENTRE VIRREY ARREDONDO Y VIRREY OLAGUER Y FELIU;SI;;41 - 59 - 60 - 63 - 67 - 68 - 152 - 161;METROBUS NORTE - AV CABILDO
-58.4497617512489;-34.5673891737521;169;VIRREY LORETO;CABILDO AV;;ENTRE CESPEDES Y VIRREY LORETO;SI;59 - 60 - 152;;METROBUS NORTE - AV CABILDO
-58.4490303575402;-34.5677924079093;170;ZABALA;CABILDO AV;;ENTRE CESPEDES Y VIRREY LORETO;SI;41 - 63 - 67 - 68 - 161;;METROBUS NORTE - AV CABILDO
-58.4486402599066;-34.5681150146769;171;CESPEDES;CABILDO AV;;ENTRE CESPEDES Y ZABALA;SI;;59 - 60 - 63 - 67;METROBUS NORTE - AV CABILDO
-58.4472262091748;-34.5688609741647;172;AGUILAR;CABILDO AV;;ENTRE AGUILAR Y CESPEDES;SI;;41 - 68 - 152 - 161;METROBUS NORTE - AV CABILDO
